F1,HUSB,I222554269833
F1,WIFE,I222554259846
F1,CHIL,I222554269855
F2,HUSB,I222554259468
F2,WIFE,I222554269877
F2,CHIL,I222554269902
F3,HUSB,I222554269989
F3,WIFE,I222554269920
F3,CHIL,I222554270029
F4,HUSB,I222554260364
F4,WIFE,I222554260371
F4,CHIL,I222554259468
F5,HUSB,I222554259468
F5,WIFE,I222554259777
F5,CHIL,I222554259467
F5,CHIL,I222554259846
F6,HUSB,I222554269946
F6,WIFE,I222554259777
F6,CHIL,I222554269950
F7,HUSB,I222554259468
F7,WIFE,I222554269920
F7,CHIL,I222554269927
F8,HUSB,I222554269979
F8,CHIL,I222554269877
F8,CHIL,I222554269989
